snapshot_date,source_url,retrieved_at_utc,registry_number,ticker,registry_name,registrar,registry_nominal,detail_url,has_standard_four_letter_ticker
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,141,BLES,SUPERIOR PRIMA SUKSES Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",50,https://web.ksei.co.id/services/registered-securities/shares/lc/BLES,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,142,BLOG,TRIMITRA TRANS PERSADA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BLOG,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,143,BLTA,BERLIAN LAJU TANKER Tbk,"SIGU1 - SINARTAMA GUNITA, PT",63,https://web.ksei.co.id/services/registered-securities/shares/lc/BLTA,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,144,BLTZ,GRAHA LAYAR PRIMA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",50,https://web.ksei.co.id/services/registered-securities/shares/lc/BLTZ,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,145,BLUE,BERKAH PRIMA PERKASA Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BLUE,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,146,BMAS,BANK KASIKORN INDONESIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",100,https://web.ksei.co.id/services/registered-securities/shares/lc/BMAS,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,147,BMBL,LAVENDER BINA CENDIKIA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",40,https://web.ksei.co.id/services/registered-securities/shares/lc/BMBL,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,148,BMHS,BUNDAMEDIK Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",20,https://web.ksei.co.id/services/registered-securities/shares/lc/BMHS,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,149,BMRI,BANK MANDIRI ( PERSERO ) Tbk,"DAEN1 - DATINDO ENTRYCOM, PT",125,https://web.ksei.co.id/services/registered-securities/shares/lc/BMRI,True
2026-09-22,https://web.ksei.co.id/services/registered-securities/shares?setLocale=en-US,2026-09-22T00:46:23.298883+00:00,150,BMSR,BINTANG MITRA SEMESTARAYA Tbk,"ADTR1 - ADIMITRA JASA KORPORA, PT",500,https://web.ksei.co.id/services/registered-securities/shares/lc/BMSR,True
